priority_rank,overlap_key,title,start_date_time,boroughs,categories,parks_title_date_match,proposed_lat,proposed_lng,classification,review_notes,manual_review_status,promotion_allowed
11,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-26,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-26T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
12,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-27,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-27T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
13,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-16,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-16T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
14,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-17,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-17T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
15,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-20,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-20T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
16,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-21,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-21T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
17,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-22,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-22T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
18,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-23,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-23T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
19,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-24,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-24T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
20,40 in focus summerstage through the lens of photographer jack vartoogian|2026-07-27,40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian,2026-07-27T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.767200469971,-73.971298217773,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
21,alfred e smith recreation center summer camp extended day|2026-07-16,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-16T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
22,alfred e smith recreation center summer camp extended day|2026-07-17,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-17T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
23,alfred e smith recreation center summer camp extended day|2026-07-20,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-20T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
24,alfred e smith recreation center summer camp extended day|2026-07-21,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-21T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
25,alfred e smith recreation center summer camp extended day|2026-07-22,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-22T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
26,alfred e smith recreation center summer camp extended day|2026-07-23,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-23T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
27,alfred e smith recreation center summer camp extended day|2026-07-24,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-24T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
28,alfred e smith recreation center summer camp extended day|2026-07-27,Alfred E. Smith Recreation Center Summer Camp Extended Day,2026-07-27T08:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
29,alfred e smith recreation center summer camp regular day|2026-07-16,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-16T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
30,alfred e smith recreation center summer camp regular day|2026-07-17,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-17T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
31,alfred e smith recreation center summer camp regular day|2026-07-20,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-20T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
32,alfred e smith recreation center summer camp regular day|2026-07-21,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-21T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
33,alfred e smith recreation center summer camp regular day|2026-07-22,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-22T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
34,alfred e smith recreation center summer camp regular day|2026-07-23,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-23T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
35,alfred e smith recreation center summer camp regular day|2026-07-24,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-24T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
36,alfred e smith recreation center summer camp regular day|2026-07-27,Alfred E. Smith Recreation Center Summer Camp Regular Day,2026-07-27T09:00:00.000-04:00,Mn,Parks & Recreation,True,40.71032072,-73.99763525,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
37,astoria pool lap swim|2026-07-16,Astoria Pool: Lap Swim,2026-07-16T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
38,astoria pool lap swim|2026-07-17,Astoria Pool: Lap Swim,2026-07-17T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
39,astoria pool lap swim|2026-07-20,Astoria Pool: Lap Swim,2026-07-20T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
40,astoria pool lap swim|2026-07-21,Astoria Pool: Lap Swim,2026-07-21T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
41,astoria pool lap swim|2026-07-22,Astoria Pool: Lap Swim,2026-07-22T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
42,astoria pool lap swim|2026-07-23,Astoria Pool: Lap Swim,2026-07-23T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
43,astoria pool lap swim|2026-07-24,Astoria Pool: Lap Swim,2026-07-24T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
44,astoria pool lap swim|2026-07-27,Astoria Pool: Lap Swim,2026-07-27T07:00:00.000-04:00,Qn,Parks & Recreation,True,40.778793896396,-73.922681749985,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
45,cardio sculpt|2026-07-16,Cardio Sculpt,2026-07-16T11:00:00.000-04:00,Qn,Parks & Recreation,True,40.755045994592,-73.949578225613,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
46,cardio sculpt|2026-07-17,Cardio Sculpt,2026-07-17T09:00:00.000-04:00,Qn,Parks & Recreation,True,40.747336617996,-73.921119214382,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
47,cardio sculpt|2026-07-20,Cardio Sculpt,2026-07-20T09:00:00.000-04:00,Qn,Parks & Recreation,True,40.747336617996,-73.921119214382,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
48,cardio sculpt|2026-07-21,Cardio Sculpt,2026-07-21T11:00:00.000-04:00,Qn,Parks & Recreation,True,40.755045994592,-73.949578225613,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
49,cardio sculpt|2026-07-22,Cardio Sculpt,2026-07-22T09:00:00.000-04:00,Qn,Parks & Recreation,True,40.747336617996,-73.921119214382,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
50,cardio sculpt|2026-07-23,Cardio Sculpt,2026-07-23T11:00:00.000-04:00,Qn,Parks & Recreation,True,40.755045994592,-73.949578225613,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
51,cardio sculpt|2026-07-24,Cardio Sculpt,2026-07-24T09:00:00.000-04:00,Qn,Parks & Recreation,True,40.747336617996,-73.921119214382,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
52,cardio sculpt|2026-07-27,Cardio Sculpt,2026-07-27T09:00:00.000-04:00,Qn,Parks & Recreation,True,40.747336617996,-73.921119214382,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
53,claremont pool lap swim|2026-07-16,Claremont Pool: Lap Swim,2026-07-16T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
54,claremont pool lap swim|2026-07-17,Claremont Pool: Lap Swim,2026-07-17T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
55,claremont pool lap swim|2026-07-20,Claremont Pool: Lap Swim,2026-07-20T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
56,claremont pool lap swim|2026-07-21,Claremont Pool: Lap Swim,2026-07-21T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
57,claremont pool lap swim|2026-07-22,Claremont Pool: Lap Swim,2026-07-22T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
58,claremont pool lap swim|2026-07-23,Claremont Pool: Lap Swim,2026-07-23T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
59,claremont pool lap swim|2026-07-24,Claremont Pool: Lap Swim,2026-07-24T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
60,claremont pool lap swim|2026-07-27,Claremont Pool: Lap Swim,2026-07-27T07:00:00.000-04:00,Bx,Parks & Recreation,True,40.83721,-73.907983,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
61,faber pool lap swim|2026-07-16,Faber Pool: Lap Swim,2026-07-16T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
62,faber pool lap swim|2026-07-17,Faber Pool: Lap Swim,2026-07-17T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
63,faber pool lap swim|2026-07-20,Faber Pool: Lap Swim,2026-07-20T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
64,faber pool lap swim|2026-07-21,Faber Pool: Lap Swim,2026-07-21T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
65,faber pool lap swim|2026-07-22,Faber Pool: Lap Swim,2026-07-22T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
66,faber pool lap swim|2026-07-23,Faber Pool: Lap Swim,2026-07-23T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
67,faber pool lap swim|2026-07-24,Faber Pool: Lap Swim,2026-07-24T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
68,faber pool lap swim|2026-07-27,Faber Pool: Lap Swim,2026-07-27T07:00:00.000-04:00,SI,Parks & Recreation,True,40.641190674648,-74.135482956731,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
69,gottesman pool lap swim|2026-07-16,Gottesman Pool: Lap Swim,2026-07-16T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
70,gottesman pool lap swim|2026-07-17,Gottesman Pool: Lap Swim,2026-07-17T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
71,gottesman pool lap swim|2026-07-20,Gottesman Pool: Lap Swim,2026-07-20T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
72,gottesman pool lap swim|2026-07-21,Gottesman Pool: Lap Swim,2026-07-21T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
73,gottesman pool lap swim|2026-07-22,Gottesman Pool: Lap Swim,2026-07-22T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
74,gottesman pool lap swim|2026-07-23,Gottesman Pool: Lap Swim,2026-07-23T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
75,gottesman pool lap swim|2026-07-24,Gottesman Pool: Lap Swim,2026-07-24T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
76,gottesman pool lap swim|2026-07-27,Gottesman Pool: Lap Swim,2026-07-27T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.796516568594,-73.954254508019,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
77,hamilton fish pool lap swim|2026-07-16,Hamilton Fish Pool: Lap Swim,2026-07-16T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
78,hamilton fish pool lap swim|2026-07-17,Hamilton Fish Pool: Lap Swim,2026-07-17T07:00:00.000-04:00,Mn,"Free,Parks & Recreation,Athletic,General Events",True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
79,hamilton fish pool lap swim|2026-07-20,Hamilton Fish Pool: Lap Swim,2026-07-20T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
80,hamilton fish pool lap swim|2026-07-21,Hamilton Fish Pool: Lap Swim,2026-07-21T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
81,hamilton fish pool lap swim|2026-07-22,Hamilton Fish Pool: Lap Swim,2026-07-22T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
82,hamilton fish pool lap swim|2026-07-23,Hamilton Fish Pool: Lap Swim,2026-07-23T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
83,hamilton fish pool lap swim|2026-07-24,Hamilton Fish Pool: Lap Swim,2026-07-24T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
84,hamilton fish pool lap swim|2026-07-27,Hamilton Fish Pool: Lap Swim,2026-07-27T07:00:00.000-04:00,Mn,Parks & Recreation,True,40.719952,-73.981491,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
85,kids in motion addabbo playground|2026-07-16,Kids In Motion: Addabbo Playground,2026-07-16T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
86,kids in motion addabbo playground|2026-07-17,Kids In Motion: Addabbo Playground,2026-07-17T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
87,kids in motion addabbo playground|2026-07-18,Kids In Motion: Addabbo Playground,2026-07-18T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
88,kids in motion addabbo playground|2026-07-21,Kids In Motion: Addabbo Playground,2026-07-21T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
89,kids in motion addabbo playground|2026-07-22,Kids In Motion: Addabbo Playground,2026-07-22T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
90,kids in motion addabbo playground|2026-07-23,Kids In Motion: Addabbo Playground,2026-07-23T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
91,kids in motion addabbo playground|2026-07-24,Kids In Motion: Addabbo Playground,2026-07-24T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
92,kids in motion addabbo playground|2026-07-25,Kids In Motion: Addabbo Playground,2026-07-25T10:00:00.000-04:00,Qn,Parks & Recreation,True,40.673348394581,-73.854245422554,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
93,kids in motion al quinones playground|2026-07-16,Kids in Motion: Al Quinones Playground,2026-07-16T10:00:00.000-04:00,Bx,Parks & Recreation,True,40.815412778979,-73.901274625272,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
94,kids in motion al quinones playground|2026-07-17,Kids in Motion: Al Quinones Playground,2026-07-17T10:00:00.000-04:00,Bx,Parks & Recreation,True,40.815412778979,-73.901274625272,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
95,kids in motion al quinones playground|2026-07-18,Kids in Motion: Al Quinones Playground,2026-07-18T10:00:00.000-04:00,Bx,Parks & Recreation,True,40.815412778979,-73.901274625272,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
96,kids in motion al quinones playground|2026-07-21,Kids in Motion: Al Quinones Playground,2026-07-21T10:00:00.000-04:00,Bx,Parks & Recreation,True,40.815412778979,-73.901274625272,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
